,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
59,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
60,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,146.96,51.6536,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705,148.99,80.0
61,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,146.96,51.6536,147.22,20.0,147.47,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
62,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.96,51.6536,147.22,20.0,147.47,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
63,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.96,51.6536,147.22,20.0,147.47,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
64,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.96,51.6536,147.22,20.0,147.47,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
65,145.22,0.170431,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.88,20.0,146.96,51.6536,147.22,20.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705,149.0,163.022497
66,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.22,4.0,146.23,80.0,146.24,4.0,146.67,20.0,146.96,51.6536,147.04,20.0,147.56,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
67,145.22,0.170431,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.24,4.0,146.67,20.0,146.96,51.6536,147.04,20.0,147.56,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.37,13.07,148.78,0.13705,149.0,163.022497
68,145.22,0.170431,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.01,80.0,146.24,4.0,146.61,20.0,146.96,51.6536,147.0,20.0,147.56,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.37,13.07,148.78,0.13705,149.0,163.022497
69,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.24,4.0,146.61,20.0,146.62,4.0,146.96,51.6536,147.0,20.0,147.56,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.37,13.07,148.78,0.13705,149.0,163.022497
70,145.42,1.0,145.44,1600.0,145.72,3.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.61,20.0,146.62,4.0,146.82,47.7113,146.9,20.0,146.94,4.0,147.56,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.37,13.07,148.78,0.13705
71,145.42,1.0,145.44,1600.0,145.72,3.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.61,20.0,146.62,4.0,146.81,51.7045,146.95,20.0,147.56,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.2,99.3,148.37,13.07,148.78,0.13705
72,145.44,1600.0,145.48,25.6,145.72,3.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.61,20.0,146.62,4.0,146.81,51.7045,146.95,20.0,147.56,50.0,147.98,80.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.2,99.3,148.37,13.07,148.78,0.13705
73,145.44,1600.0,145.48,25.6,145.72,3.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.61,20.0,146.62,4.0,146.86,4.0,146.87,47.6973,147.08,4.0,147.09,20.0,147.55,80.0,147.56,50.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.2,99.3
74,145.44,1600.0,145.48,25.6,145.72,3.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.61,20.0,146.62,4.0,146.86,4.0,146.87,47.6973,147.08,4.0,147.09,20.0,147.55,80.0,147.56,50.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.2,99.3
75,145.44,1600.0,145.48,25.6,145.72,3.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.61,20.0,146.62,4.0,146.86,4.0,146.87,47.6973,147.08,4.0,147.09,20.0,147.55,80.0,147.56,50.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.2,99.3
76,145.44,1600.0,145.48,25.6,145.72,3.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.61,20.0,146.62,4.0,146.86,4.0,146.87,47.6973,147.08,4.0,147.09,20.0,147.55,80.0,147.56,50.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.2,99.3
77,145.44,1600.0,145.48,25.6,145.72,3.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.61,20.0,146.62,4.0,146.86,4.0,146.87,47.6973,147.08,4.0,147.09,20.0,147.55,80.0,147.56,50.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.2,99.3
78,145.44,1600.0,145.48,25.6,145.72,3.396925,145.75,0.171526,145.76,4.0,145.77,80.0,146.0,13.69863,146.06,25.0,146.61,20.0,146.62,4.0,146.86,4.0,146.87,47.6973,147.08,4.0,147.09,20.0,147.55,80.0,147.56,50.0,147.99,1566.34458762,148.0,133.43616,148.1,10.0,148.2,99.3
